,store,address,phone
0,자유로,경기 파주시 문발동 495-137 ,T.031-953-5325
1,라운지탐탐 서울대점,서울 관악구 관악로 173 (봉천동) 2층 라운지탐탐,T.02-878-5565
2,크레이지 파머스 남양주점,경기도 남양주시 화도읍 북한강로 1498 ,T.031-511-2763
3,라운지탐탐 건대점,서울 광진구 동일로20길 105-2 (자양동) ,T.02-465-4565
4,와인탐탐 탐스퀘어점,서울 영등포구 영중로 21 (영등포동4가) 1층,T.02-2632-3033
5,겟풀 율동공원점,경기 성남시 분당구 문정로 138 B1 ,T.031-708-4565
6,겟풀 남양주점,경기도 남양주시 화도읍 북한강로 1496 ,T.-
7,에그탐탐 탐스퀘어점,서울 영등포구 영중로 21 ,T.02-2634-5539
8,탐스런 헤어 부평대로점,인천 부평구 부평대로 33 ,T.032-715-5151
9,탐스런 헤어 탐스퀘어점,서울특별시 영등포구 영중로 21 ,T.02-6951-0234
10,의왕(하),경기 의왕시 오전로 24 ,T.
11,의왕(상),경기 의왕시 오전로 24 ,T.
12,NC마산야구장점(3루),경남 창원시 마산회원구 삼호로 63 창원NC파크 탐앤탐스 (신 야구장 내 1층) ,T.-
13,NC마산야구장점,경남 창원시 마산회원구 삼호로 63 창원NC파크 탐앤탐스 (신 야구장 내 1층) ,T.-
14,포항ktx역사점,경북 포항시 북구 흥해읍 이인리131 포항ktx역사 2층 ,T.
15,무주리조트점,전북 무주군 설천면 만선로 185  ,T.063-322-9890
16,고척스카이돔(3루),서울특별시 구로구 경인로 431  ,T.
17,고척스카이돔(1루),서울특별시 구로구 경인로 431  ,T.
18,더스토리지,경기도 남양주시 고산로 249-18 ,T.031-521-1565
19,총체보리한우 수라간(잘났소),경기도 남양주시 화도읍 북한강로 1492 ,T.031-594-0083
20,의정부 휴게소,경기도 의정부시 구리포천고속도로 19 ,T.031-928-4113
21,별내 휴게소,경기도 남양주시 별내면 구리포천고속도로 14 ,T.031-524-9773
22,여수 진남관점,전남 여수시 진남상가길2 ,T.061-666-3330
23,강북마루점,대구광역시 북구 칠곡중앙대로125길 8 ,T.053-325-3019
24,송도해변점,부산광역시 서구 송도해변로 139 ,T.051-243-5500
25,중앙점,부산 중구 광복로97번길 26-2 ,T.051-254-7890
26,서산호수공원점,충남 서산시 호수공원6로 40 ,T.041-429-3131
27,경기도광주점,경기도 광주시 경안로 10 ,T.031-761-0334
28,동탄센트럴에이스타워점,경기도 화성시 동탄기흥로 590 ,T.031-378-8635
29,양산부산대점,경남 양산시 물금읍 삽량로 30 ,T. 055-383-3839
30,역삼르까프골프장점,서울특별시 강남구 역삼로98길 28 ,T.02-553-9036
31,양산신도시점,경남 양산시 양산역8길 11  ,T.055-382-2121
32,세종몰리브점,세종특별자치시 도움1로 108 ,T.070-7818-5094
33,문경 휴게소(상),경북 문경시 중부내륙고속도로 174 ,T.054-554-1610
34,화홍병원점,경기도 수원시 권선구 호매실로90번길 98 ,T.031-296-5996
35,강서구청사거리점,"서울 강서구 공항대로 395 (등촌동, 기도빌딩) ",T.02-3661-9890
36,영월점,강원도 영월군 동강로 100 ,T.033-375-3920
37,모란점,경기도 성남시 중원구 성남대로 1146 ,T.031-756-2772
38,세종연구소입구점,경기도 성남시 수정구 대왕판교로 850 ,T.031-751-2225
39,성수1호점,서울특별시 성동구 성수이로 51 ,T.02-467-5206
40,함안 휴게소(순천),경남 함안군 군북면 현포로 205 ,T.051-633-0102
41,덕성여대점,서울특별시 강북구 삼양로 547 ,T.02-900-2785
42,인천서구청점,인천광역시 서구 탁옥로 55 ,T.032-562-3314
43,전주법조타운점,전북 전주시 덕진구 만성중앙로 54-46 ,T.063-212-7932
44,예산 휴게소(대전),"충남 예산군 신양면 당진영덕고속도로 34 (서계양리, 예산휴게소 하행) ",T.041-334-0094
45,함안 휴게소(부산),경남 함안군 군북면 현포로 205 ,T.02-633-0102
46,서천 휴게소(서울),충남 서천군 비인면 서해안고속도로 168 ,T.041-952-9735
47,포항상도점,경북 포항시 남구 상공로 61 ,T.054-275-1117
48,죽암 휴게소(상),충북 청주시 서원구 현도면 경부고속도로 290 ,T.02-393-5917
49,횡성 휴게소(인천),강원 횡성군 안흥면 소사리 1511 ,T.033-342-4200
50,무학여고점,서울특별시 성동구 고산자로 202 ,T.02-2294-7800
51,시흥목감점,경기도 시흥시 산현마을길 56 ,T.031-509-1218
52,정자카페거리점,경기도 성남시 분당구 정자일로 210 ,T.031-786-1357
53,대학로2호점,서울특별시 종로구 동숭길 117 ,T.02-742-4565
54,미금역점,경기도 성남시 분당구 성남대로 165 ,T.031-782-4565
55,구미인동점,경북 구미시 인동중앙로3길 18-8 ,T.054-475-0931
56,종로5가점,서울 종로구 종로32길 2 ,T.02-762-5207
57,삼성본점,서울시 강남구 테헤란로77길 9 ,T.02-565-3651
58,국방부점,서울시 용산구 이태원로 22 국방부 본관 10층,T.02-748-7488(군부대)
59,배곧아브뉴점,경기도 시흥시 서울대학로 264번길 7 ,T.031-431-2647
60,춘천운교점,강원도 춘천시 춘천로 183 ,T.033-253-1799
